"module name","license","repository"
"@es-joy/jsdoccomment@0.50.0","MIT","https://github.com/es-joy/jsdoccomment"
"@esbuild/darwin-arm64@0.17.19","MIT","https://github.com/evanw/esbuild"
"@esbuild/darwin-arm64@0.21.5","MIT","https://github.com/evanw/esbuild"
"@esbuild/darwin-arm64@0.24.2","MIT","https://github.com/evanw/esbuild"
"@esbuild/darwin-arm64@0.25.0","MIT","https://github.com/evanw/esbuild"
"@eslint-community/eslint-plugin-eslint-comments@4.4.1","MIT","https://github.com/eslint-community/eslint-plugin-eslint-comments"
"@eslint-community/eslint-utils@4.4.1","MIT","https://github.com/eslint-community/eslint-utils"
"@eslint-community/regexpp@4.12.1","MIT","https://github.com/eslint-community/regexpp"
"@eslint/compat@1.2.7","Apache-2.0","https://github.com/eslint/rewrite"
"@eslint/config-array@0.19.2","Apache-2.0","https://github.com/eslint/rewrite"
"@eslint/config-helpers@0.1.0","Apache-2.0","https://github.com/eslint/rewrite"
"@eslint/config-inspector@1.0.2","Apache-2.0","https://github.com/eslint/config-inspector"
"@eslint/core@0.10.0","Apache-2.0","https://github.com/eslint/rewrite"
"@eslint/core@0.12.0","Apache-2.0","https://github.com/eslint/rewrite"
"@eslint/eslintrc@3.3.0","MIT","https://github.com/eslint/eslintrc"
"@eslint/js@9.22.0","MIT","https://github.com/eslint/eslint"
"@eslint/markdown@6.2.2","MIT","https://github.com/eslint/markdown"
"@eslint/object-schema@2.1.6","Apache-2.0","https://github.com/eslint/rewrite"
"@eslint/plugin-kit@0.2.7","Apache-2.0","https://github.com/eslint/rewrite"
"@fast-csv/format@4.3.5","MIT","https://github.com/C2FO/fast-csv"
"@fast-csv/parse@4.3.6","MIT","https://github.com/C2FO/fast-csv"
"@fastify/accept-negotiator@1.1.0","MIT","https://github.com/fastify/accept-negotiator"
"@googlemaps/js-api-loader@1.16.8","Apache-2.0","https://github.com/googlemaps/js-api-loader"
"@grpc/grpc-js@1.12.6","Apache-2.0","https://github.com/grpc/grpc-node/tree/master/packages/grpc-js"
"@grpc/proto-loader@0.7.13","Apache-2.0","https://github.com/grpc/grpc-node"
"@gtm-support/core@3.0.1","MIT","https://github.com/gtm-support/core"
"@gtm-support/vue-gtm@3.1.0","MIT","https://github.com/gtm-support/vue-gtm"
"@humanfs/core@0.19.1","Apache-2.0","https://github.com/humanwhocodes/humanfs"
"@humanfs/node@0.16.6","Apache-2.0","https://github.com/humanwhocodes/humanfs"
"@humanwhocodes/module-importer@1.0.1","Apache-2.0","https://github.com/humanwhocodes/module-importer"
"@humanwhocodes/retry@0.3.1","Apache-2.0","https://github.com/humanwhocodes/retry"
"@humanwhocodes/retry@0.4.2","Apache-2.0","https://github.com/humanwhocodes/retry"
"@intlify/bundle-utils@10.0.0","MIT","https://github.com/intlify/bundle-tools"
"@intlify/core-base@10.0.5","MIT","https://github.com/intlify/vue-i18n"
"@intlify/core@10.0.5","MIT","https://github.com/intlify/vue-i18n"
"@intlify/h3@0.6.1","MIT","https://github.com/intlify/h3"
"@intlify/message-compiler@10.0.5","MIT","https://github.com/intlify/vue-i18n"
"@intlify/message-compiler@11.0.0-rc.1","MIT","https://github.com/intlify/vue-i18n"
"@intlify/shared@10.0.5","MIT","https://github.com/intlify/vue-i18n"
"@intlify/shared@11.0.0-rc.1","MIT","https://github.com/intlify/vue-i18n"
"@intlify/shared@11.1.1","MIT","https://github.com/intlify/vue-i18n"
"@intlify/unplugin-vue-i18n@6.0.3","MIT","https://github.com/intlify/bundle-tools"
"@intlify/utils@0.13.0","MIT","https://github.com/intlify/utils"
"@intlify/vue-i18n-extensions@8.0.0","MIT","https://github.com/intlify/vue-i18n-extensions"
"@ioredis/commands@1.2.0","MIT","https://github.com/ioredis/commands"
"@isaacs/cliui@8.0.2","ISC","https://github.com/yargs/cliui"
"@isaacs/fs-minipass@4.0.1","ISC","https://github.com/npm/fs-minipass"
"@istanbuljs/schema@0.1.3","MIT","https://github.com/istanbuljs/schema"
"@jridgewell/gen-mapping@0.3.8","MIT","https://github.com/jridgewell/gen-mapping"
"@jridgewell/resolve-uri@3.1.2","MIT","https://github.com/jridgewell/resolve-uri"
"@jridgewell/set-array@1.2.1","MIT","https://github.com/jridgewell/set-array"
